state1,state2,distance
CA,CT,46.95249384356491
CA,DE,44.0016577347945
CA,DC,42.489970699095565
CA,FL,37.99522429161327
CA,GA,36.312256109473566
CA,HI,40.58610588329461
CA,ID,8.657342883356304
CA,IL,30.407671094149908
CA,IN,33.29846822317808
CA,IA,26.430092280580485
CA,KS,21.129822734703673
CA,KY,34.16929874331635
CA,LA,28.145166741023232
CA,ME,50.88941158433648
CA,MD,42.71968750470912
CA,MA,47.93078570125885
CA,MI,34.804390055278944
CA,MN,26.757991816464852
CA,MS,30.131865500330377
CA,MO,27.037035540347247
CA,MT,13.933487131726928
CA,NE,20.150450464939976
CA,NV,3.557623026685085
CA,NH,48.32713156406036
CA,NJ,44.8975827166675
CA,NM,13.642623574664809
CA,NY,44.31996288276876
CA,NC,40.1149647160508
CA,ND,21.599337251175086
CA,OH,36.80685622570882
CA,OK,22.03312218297716
CA,OR,6.83674030075737
CA,PA,41.83341410881975
CA,RI,48.12351672488202
CA,SC,38.7113207483289
CA,SD,20.567330865476936
CA,TN,33.145638114539295
CA,TX,20.93181753025762
CA,UT,8.082661594425442
CA,VT,47.30743505623613
CA,VA,40.61730138216964
CA,WA,10.245247874502594
CA,WV,38.87420617646102
CA,WI,30.4000275705467
CA,WY,13.259824777122814
CO,AL,19.72474946989188
CO,AK,53.03112640563087
CO,AZ,7.724394707677753
CO,AR,13.732594751175025
CO,CA,14.039367751077686
CO,CO,0.0
CO,CT,32.92528314745371
CO,DE,30.042800961295207
CO,DC,28.533232940204993
CO,FL,25.317793989603423
CO,GA,23.000756281696475
CO,HI,54.15838283276192
CO,ID,10.528055600632062
CO,IL,16.384626695167633
CO,IN,19.287070058461445
CO,IA,12.43862338243264
CO,KS,7.185063326791214
CO,KY,20.29845498406221
CO,LA,15.69992171604687
CO,ME,36.85999501207236
CO,MD,28.756958087565522
CO,MA,33.89685994321597
CO,MI,20.83602850857139
CO,MN,13.3956402795835
CO,MS,17.06962262734592
CO,MO,13.105465745253007
CO,MT,9.03229707770953
CO,NE,6.288736411235558
CO,NV,11.088362388107644
CO,NH,34.288044677117405
CO,NJ,30.89805927966998
CO,NM,4.624718050865372
CO,NY,30.280606410044037
CO,NC,26.38550272896084
CO,ND,9.86292177906729
CO,OH,22.790581120497993
CO,OK,8.745019790715169
CO,OR,15.801365612186821
CO,PA,27.811874946684192
CO,RI,34.0970073695625
CO,SC,25.16944516770284
CO,SD,7.615068001009576
CO,TN,19.452272461848768
CO,TX,9.758026327593097
CO,UT,6.130257346963505
CO,VT,33.27079855143245
CO,VA,26.734858617542745
CO,WA,17.096989604020933
CO,WV,24.92764649340166
CO,WI,16.540309492267664
CO,WY,4.472316380803128
CT,AL,16.64449723512248
CT,AK,82.65709614044036
CT,AZ,39.62015217865777
CT,AR,20.83171581267371
CT,CA,46.95249384356491
CT,CO,32.92528314745371
CT,CT,0.0
CT,DE,3.826829050271248
CT,DC,5.073032426468416
CT,FL,16.226568821534638
CT,GA,13.980888321204768
CT,HI,86.322969165802
CT,ID,41.97450780521435
CT,IL,16.54483546850799
CT,IN,13.66396705865467
CT,IA,20.773644117727635
CT,KS,25.843126259220263
CT,KY,13.222359807538133
CT,LA,21.96996675577821
CT,ME,5.117249848307196
CT,MD,4.806435328806572
CT,MA,1.1185804798940475
CT,MI,12.972296922673337
